bpin;nombreproyecto;objetivogeneral;estadoproyecto;horizonte;sector;entidadresponsable;programapresupuestal;tipoproyecto;valortotalproyecto;valorvigenteproyecto;valorobligacionproyecto;valorpagoproyecto;subestadoproyecto;codigoentidadresponsable;totalbeneficiario;plandesarrollonacional;municipio;departamento;Longitud
1,024E+12;Subsidio De Vivienda Rural Por Intermedio Del Banco Agrario De Colombia S.A.;EL PROPOSITO GENERAL DEL PROYECTO DE VIVIENDA ES MEJORAR LA CALIDAD DE VIDA DE LAS COMUNIDADES RURALES  MEDIANTE EL OTORGAMIENTO DE SUBSIDIOS DE VIVIENDA DE INTERES SOCIAL RURAL .;En Ejecución;2000-2014;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;0620 SUBSIDIOS DIRECTOS;Pgn;87.153.280.300.000.000.000;87.153.280.300.000.000.000;87.109.787.528.374.000.000;58.561.066.359.224.000.000;Inactivo  (PGN, Territorio);170101;8992000;Todos por un nuevo país (2014-2018);;;
24000080000;Sistematizacion Red De Informacion Agropecuaria  A Nivel Nacional;ESTRUCTURAR UNA PLATAFORMA TECNOLOGICA QUE PERMITA EL PROCESAMIENTO ANALISISINTERCAMBIO Y DIFUSION DE INFORMACIÓN TANTO INTERNA COMO CON LAS ENTIDADES ADSCRITAS Y VINCULADAS Y AQUELLAS DE ORDEN NACIONAL E INTERNACIONAL CREANDO UNA CULTURA DE TECNOLOGÍA EN INFORMÁTICA.;En Ejecución;1995-2020;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;Pgn;6.575.928.155.200.000.000;6.575.928.155.200.000.000;5.753.100.316.106.000.000;4.326.169.151.876.000.000;Inactivo  (PGN, Territorio);170101;650;;;;
36000050000;Implementacion Del Sistema De Informacion De Desarrollo Rural A Nivel Nacional;OBJETIVO:DISEÑAR DESARROLLAR E IMPLEMENTAR UN SISTEMA DE INFORMACIÓN QUE PERMITA LA INTEGRACIÓN DE TODOS LOS PROCESOS MISIONALES FACILITE EL SEGUIMIENTO EL CONTROL  Y LA TOMA DE DECISIONES CON BASE A INFORMACIÓN CONFIABLE SEGURA  Y OPORTUNA OBJETIVOS  ESPECÍFICOS- REALIZAR EL  LEVANTAMIENTO DE LA INFORMACIÓN DE LOS PROCESOS MISIONALES DE LA ENTIDAD A FIN DE CONTAR CON LOS INSUMOS  REQUERIDOS PARA DAR INICIO AL PROYECTO. - DISPONER  DE  LA  INFRAESTRUCTURA TECNOLÓGICA  NECESARIA  PARA  SOPORTAR  LA DISPONIBILIDAD DE APLICACIONES Y SERVICIOS  BASÁNDOSE EN TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES.- DISEÑAR LOS INSTRUMENTOS  METODOLÓGICOS  PARA   LA RECOLECCIÓN Y ALMACENAMIENTO DE LA  INFORMACIÓN.- DESARROLLAR LOS MÓDULOS FALTANTES PARA INCLUIR LOS PROCESOS AUN NO SISTEMATIZADOS.- INTEGRAR  LAS  BASES DE DATOS EXISTENTES  A  LOS DIFERENTES SISTEMAS DE INFORMACIÓN.- ESTABLECER UN CANAL  ÚNICO  PARA LA  INFORMACIÓN QUE  PERMITA  CELERIDAD  Y ATENCIÓN OPORTUNA A  LOS BENEFICIARIOS ENTIDADES Y DEMÁS INTERESADOS.- CONTAR CON UNA  TECNOLOGÍA FLEXIBLE QUE FACILITE LA CONECTIVIDAD CON OTROS SISTEMAS E INTERCAMBIO DE INFORMACIÓN ENTRE ENTIDADES.;En Ejecución;2005-2018;Agricultura Y Desarrollo Rural;Agencia de Desarrollo Rural - ADR - Agricultura y Desarrollo Rural;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;Pgn;1.877.370.927.200.000.000;1.877.370.927.200.000.000;1.695.072.146.382.000.000;1.369.542.620.382.000.000;Inactivo  (PGN, Territorio);171800;11078002;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
1,024E+12;Mejoramiento De La Competitividad Y Apoyo A La Politica De Modernizacion Agropecuaria Forestal Y Pesquera;ESTE PROYECTO BUSCA PROVEER AL SECTOR Y EN ESPECIAL A LOS ACTORES DE LAS DIFERENTES CADENAS PRODUCTIVAS DEL APOYO LOGISTICO REQUERIDO LA CAPACITACION DE PERSONAL EL SUMINISTRO DE INFORMACION Y LOS ESTUDIOS PERTINENTES ASI COMO EL APOYO A LOS PROCESOS DE SUSCRIPCION DE ACUERDOS SECTORIALES DE COMPETITIVIDAD Y LA CREACION Y FORTALECIMIENTO DE LAS ORGANIZACIONES DE CADENA.;En Ejecución;1997-2018;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;Pgn;2.428.173.734.900.000.000;2.428.173.734.900.000.000;2.321.283.797.200.000.000;2.298.204.495.000.000.000;Inactivo  (PGN, Territorio);170101;119;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
1,024E+12;Administracion Levantamiento Montaje Y Operacion De Los Sistemas De Informacion Agropecuaria A Nivel Nacional;COORDINAR EL DESARROLLO DEL SISTEMA DE INFORMACIÓN CONTINUO E INTEGRADO DE ESTADÍSTICAS Y ANÁLISIS PARA ATENDER LAS NECESIDADES DEL MINISTERIO DE AGRICULTURA DEL SECTOR AGROPECUARIO Y DE LAS INSTITUCIONES PÚBLICAS Y PRIVADAS COMO DE NUESTRIOS CLIENTES O USUARIOS RELACIONADOS CON EL SECTOR.;En Ejecución;2000-2018;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;Pgn;12.462.629.412.700.000.000;12.462.629.412.700.000.000;11.542.668.251.085.000.000;10.182.309.657.655.000.000;Inactivo  (PGN, Territorio);170101;1400000;;;;
2,012E+12;Fortalecimiento Del Cultivo De Caucho Mediante El Establecimiento De 1500 Has Nuevas Asociadas Con El Componente De Seguridad Alimenta Guaviare;GENERAR UNA ALTERNATIVA ECONMICA QUE GARANTICE UN INGRESO FAMILIAR SUFICIENTE Y SOSTENIBLE PARA SUPLIR SUS NECESIDADES DE ALIMENTACIoN VIVIENDA SALUD Y EDUCACIoN A LA COMUNIDAD RURAL DEL DEPARTAMENTO DEL GUAVIARE.;Terminado;2012-2018;Agricultura Y Desarrollo Rural;Guaviare;0670 APOYO;Sgr;726.439.272.033.000.000;720.314.577.685.000.000;0.00000000;726.439.272.033.000.000;Cerrado  (SGR);95;2800;Todos por un nuevo país (2014-2018);;;
2,012E+12;Desarrollo Agroproductivo Fortalecimiento Empresarial Y Agroindustrial En El Departamento De La Guajira;AUMENTAR LA PRODUCCION AGRICOLA EN DEPARTAMENTO DE LA GUAJIRA;Terminado;2012-2013;Agricultura Y Desarrollo Rural;La Guajira;0670 APOYO;Sgr;197.172.218.550.000.000;148.140.000.000.000.000;0.00000000;197.172.218.550.000.000;Terminado (SGR);44;15210;Todos por un nuevo país (2014-2018);;;
2,01201E+12;Fortalecimiento De La Capacidad De Investigación De La Autoridad Nacional De Acuicultura Y Pesca Nacional;GENERAR CONOCIMIENTO SOBRE  LOS  RECURSOS PESQUEROS Y DE LA ACUICULTURA OBJETIVOS ESPECIFICOS:1.  GENERAR INFORMACIÓN SOBRE LOS PARÁMETROS BIOLÓGICOS PESQUEROS DE LOS RECURSOS DE LA PESCA ATENDIENDO LOS LINEAMIENTOS DE LA AGENDA NACIONAL DE INVESTIGACIÓN EN PESCA Y ACUICULTURA.2. GENERAR INFORMACIÓN SOBRE LOS PARÁMETROS DE CICLOS DE PRODUCCIÓN DE ESPECIES PARA LA ACUICULTURA ATENDIENDO LOS LINEAMIENTOS DE LA AGENDA NACIONAL DE INVESTIGACIÓN EN PESCA Y ACUICULTURA.3. CONSOLIDAR Y ACTUALIZAR EL SISTEMA DE INFORMACIÓN EN PESCA Y ACUICULTURA.;En Ejecución;2013-2014;Agricultura Y Desarrollo Rural;Autoridad Nacional de Acuicultura y Pesca - Aunap - Agricultura y Desarrollo Rural;0410 INVESTIGACION BASICA, APLICADA Y ESTUDIOS;Pgn;300.000.000.000.000.000;300.000.000.000.000.000;294.035.921.200.000.000;257.223.273.000.000.000;Inactivo  (PGN, Territorio);171500;2000;Todos por un nuevo país (2014-2018);;;
2,01201E+12;Estudios Y Planificación Del Ordenamiento De La Propiedad De Las Tierras Rurales  Conforme A Su Función Social Y Ecológica A Nivel Nacional;PLANIFICAR EL ORDENAMIENTO DE LA PROPIEDAD DE LAS TIERRAS RURALES CONFORME A SU FUNCIÓN SOCIAL Y ECOLÓGICA;En Ejecución;2012-2013;Agricultura Y Desarrollo Rural;Unidad de Planificación de Tierras Rurales Adecuación de Tierras y Usos Agropecuarios - UPRA - Agricultura y Desarrollo Rural;0450 LEVANTAMIENTO Y ACTUALIZACIÓN DE INFORMACIÓN PARA  PROCESAMIENTO;Pgn;361.000.000.000.000.000;361.000.000.000.000.000;294.079.230.689.000.000;272.763.052.500.000.000;Inactivo  (PGN, Territorio);170106;47121089;Todos por un nuevo país (2014-2018);;;
27066300018;Asistencia  Y Acompañamiento Integral Para Población Desplazada Que Retorna O Es Reubicada En Las Areas Rurales A Nivel Nacional;AUMENTAR LOS  INGRESOS DERIVADOS DE LA ACTIVIDAD AGROPECUARIA DE LA POBLACIÓN DESPLAZADA EN PROCESO DE REUBICACIÓN O RETORNO.;En Ejecución;2010-2011;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;0530 ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA EL APOYO A LA GESTION DEL ESTADO;Pgn;300.000.000.000.000.000;300.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);170101;;Todos por un nuevo país (2014-2018);;;
1,024E+12;Implantacion Programa De Reactivacion Del Sector Agropecuario A Nivel Nacional. Convenio Con Finagro;APOYO PARA ADQUIRIR CARTERA AGROPECUARIA DE LOS PRODUCTORES PARA QUE SE HABILITEN NUEVAMENTE COMO SUJETOS DE CREDITO Y REACTIVEN SUA CTIVIDAD EN EL CAMPO.;En Ejecución;1999-2014;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;0610 CREDITOS;Pgn;32.100.000.000.000.000.000;32.100.000.000.000.000.000;31.981.600.000.000.000.000;29.381.100.000.000.000.000;Inactivo  (PGN, Territorio);170101;35000;Todos por un nuevo país (2014-2018);;;
2,01905E+12;Fortalecimiento Casa De Justicia.  Bello;Promocionar y Difundir los Derechos Humanos;En Ejecución;2019-2020;Justicia Y Del Derecho;BelloAntioquia;1202 PROMOCIÓN AL ACCESO A LA JUSTICIA;T;35.000.000.000.000.000;35.000.000.000.000.000;0.00000000;0.00000000;Inactivo  (PGN, Territorio);5088;75172;Todos por un nuevo país (2014-2018);;;
24012160000;Mejoramiento Y Operación Institucional Ministerio De Agricultura A Nivel Nacional;REDUCIR LOS NIVELES DEFICIENTES DE CALIDAD DE VIDA LABORAL EN EL MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL MEDIANTE EL MEJORAMIENTO DELAS CONDICIONES FÍSICAS DEL ENTORNO LABORALDISPONER Y DISTRIBUIR LOS ESPACIOS FÍSICOS DEL MINISTERIO REQUERIDOS PARA LAS DISTINTAS NECESIDADES ADECUARLOS Y DOTARLOS DE ACUERDO CON LAS LABORES Y/O ACTIVIDADES QUE SE PRECISE DESARROLLAR. DOTAR A LAS INSTALACIONES DEL MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL DE PISOS SEGUROS ATENDIENDO REQUERIMIENTOS DE SALUBRIDAD Y RIESGO PROFESIONAL. ORGANIZAR Y DEPURAR LA TOTALIDAD DEL ARCHIVO FÍSICO RECIBIDO DE ENTIDADES LIQUIDADAS Y DEL PROPIO MINISTERIODISPONER DE REDES E INSTALACIONES ELÉCTRICAS EN PERFECTAS CONDICIONES DE USO Y SEGURIDAD.DOTAR A LAS INTALACIONES DEL MINISTERIO  DE AGRICULTURA Y DESARROLLO RURAL DE TECHOS EN CONDICIONES ÓPTIMAS.;En Ejecución;2010-2018;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;Pgn;4.870.176.475.100.000.000;4.870.176.475.100.000.000;3.480.819.311.780.000.000;1.778.947.251.100.000.000;Inactivo  (PGN, Territorio);170101;1800;;;;
27066270000;Implementacion De Lineamientos De Politica Para La Promocion Y Aprovechamiento Sustentable De La Pesca Y La Acuicultura A Nivel Nacional;OBJETIVO GENERALMEJORAR LA COMPETITIVIDAD DEL SUBSECTOR PESQUERO Y ACUÍCOLAOBJETIVOS ESPECÍFICOS 1. FORTALECER LA INSTITUCIONALIDAD DEL SUBSECTOR PESCA Y ACUICULTURA MEDIANTE LA REALIZACIÓN DE JORNADAS DE SOCIALIZACIÓN Y CAPACITACIÓN A LOS USUARIOS DEL RECURSO PESQUERO Y ACUÍCOLA Y EL MEJORAMIENTO DE LOS INSTRUMENTOS DE GESTIÓN Y ADMINISTRACIÓN DE LOS RECURSOS PESQUEROS Y LA DEFINICIÓN DE ESTRATEGIAS DE COORDINACIÓN INTERINSTITUCIONAL.2. APOYAR EL PROCESO DE CONFORMACIÓN DE LA AGENDA DE INVESTIGACIÓN EN PESCA Y ACUICULTURA MEDIANTE LA REALIZACIÓN DE JORNADAS DE TRABAJO A NIVEL REGIONAL QUE ASEGUREN LA PARTICIPACIÓN DE LA COMUNIDAD EN EL PROCESO.3. MEJORAR EL CONOCIMIENTO DE LOS PESCADORES  Y ACUICULTORES EN TEMAS COMO: DIVERSIFICACIÓN DE LA ACTIVIDAD MEJORAMIENTO TECNOLÓGICO  BUENAS PRÁCTICAS PESQUERAS Y ACUÍCOLAS ASOCIATIVIDAD Y EMPRENDIMIENTO ASÍ COMO FACILITAR SU ACCESO  A ALTERNATIVAS DE PRODUCCIÓN RELACIONADAS MEDIANTE LA SUSCRIPCIÓN DE CONVENIOS DE COOPERACIÓN TÉCNICA.4. FACILITAR LAS ACTIVIDADES DE ACTUALIZACIÓN AJUSTE Y MODIFICACIÓN DE LA NORMATIVA EN PESCA Y ACUICULTURA A FIN DE ACONDICIONARLA A LA REALIDAD DEL PAÍS Y A LOS ENFOQUES MODERNOS DE ADMINISTRACIÓN Y MANEJO DE LOS RECURSOS.5. FACILITAR Y FORTALECER LA PARTICIPACIÓN DEL PAÍS EN ESPACIOS INTERNACIONALES DE DISCUSIÓN Y TOMA DE DECISIONES EN EL TEMA DE ORDENACIÓN DE LA PESCA Y LA ACUICULTURA ASÍ COMO HACER USO DE MECANISMOS COMO LAS COMISIONES DE VECINDAD CON BRASIL ECUADOR VENEZUELA JAMAICA PANAMÁ Y PERÚ CON EL FIN DE PROMOVER PROYECTOS DE INVESTIGACIÓN Y APROVECHAMIENTO CONJUNTO DE LOS RECURSOS PESQUEROS DESARROLLO DE LA ACUICULTURA Y ARMONIZACIÓN DE LA REGLAMENTACIÓN PESQUERA EN EL CASO DE RECURSOS COMPARTIDOS.;En Ejecución;2011-2023;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1799 FORTALECIMIENTO DE LA GESTIÓN Y DIRECCIÓN DEL SECTOR AGROPECUARIO;Pgn;1.066.412.667.800.000.000;1.066.412.667.800.000.000;993.032.754.816.000.000;802.118.381.233.000.000;Inactivo  (PGN, Territorio);170101;3380;Pacto Por Colombia, Pacto por la Equidad (2019-2022);;;
24011640000;Apoyo A La  Capacitacion Y Formacion En Ciencias Agropecuarias A Nivel Nacional;MAYORES Y MEJORES CONDICIONES PARA EL DESARROLLO DEL SECTOR AGROPECUARIO Y PESQUERO MEDIANTE EL APOYO PROFESIONAL Y_O TECNOLÓGICO EN CIENCIAS AGRÍCOLAS PECUARIA Y PESQUERAS.;En Ejecución;1995-2010;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;0;Pgn;400.000.000.000.000.000;400.000.000.000.000.000;400.000.000.000.000.000;400.000.000.000.000.000;Inactivo  (PGN, Territorio);170101;;Todos por un nuevo país (2014-2018);;;
1,024E+12;Implementacion Programa De Reactivacion Cafetero A Nivel Nacional;EL OBJETIVO DEL PROYECTO ES EL ESTABLECIMIENTO Y ADOPCION DEL PROGRAMA NACIONAL DE REACTIVACION CAFETERA QUE PERMITA MEJORAR EL NIVEL DE VIDA Y PROTEGER LOS INGRESOS DE LOS PRODUCTORES CAFETEROS A NIVEL NACIONAL;En Ejecución;2009-2014;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;0520 ADMINISTRACION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA APOYO A LA ADMINISTRACION DEL ESTADO;Pgn;5.000.000.000.000.000.000;5.000.000.000.000.000.000;5.000.000.000.000.000.000;5.000.000.000.000.000.000;Inactivo  (PGN, Territorio);170101;;Todos por un nuevo país (2014-2018);;;
2,01101E+12;Apoyo A Los Emprendimientos Productivos Y De Desarrollo De Las Mujeres Rurales Nacional;INCREMENTAR Y MEJORAR  LAS OPORTUNIDADES DE LA MUJER RURAL  FRENTE A LAS ACCIONES DE EQUIDAD DE GENERO.;En Ejecución;2010-2014;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;0620 SUBSIDIOS DIRECTOS;Pgn;2.525.644.227.700.000.000;2.525.644.227.700.000.000;2.349.903.460.100.000.000;1.977.386.229.600.000.000;Inactivo  (PGN, Territorio);170101;3000;Todos por un nuevo país (2014-2018);;;
2,01101E+12;Implementación Politica Para Mejorar La Competitividad Del Sector Lacteo  Nacional;MEJORAR LA COMPETITIVIDAD DE LOS CONGLOMERADOS LÁCTEOS NACIONALES;En Ejecución;2011-2018;Agricultura Y Desarrollo Rural;Agencia de Desarrollo Rural - ADR - Agricultura y Desarrollo Rural;1709 INFRAESTRUCTURA PRODUCTIVA Y COMERCIALIZACIÓN;Pgn;26.602.162.781.800.000.000;26.602.162.781.800.000.000;19.085.875.433.620.000.000;11.942.068.654.700.000.000;Inactivo  (PGN, Territorio);171800;1732242;;;;
2,01101E+12;Implementación Programa Para La Formacion Y Desarrollo Del  Joven Rural Nacional;CONTRIBUIR A LA REDUCCIÓN DE LOS ALTOS  ÍNDICES DE POBREZA Y DESIGUALDAD EN INDIVIDUOS JÓVENES RURALES CON RESTRICCIONES O CONDICIONES ADVERSAS PARA CRECER Y DESARROLLARSE EN EL MEDIO RURAL. OBJETIVOS ESPECIFICOS:1. DESARROLLAR UNA DIFUSIÓN ADECUADA DE LA OFERTA INSTITUCIONAL PARA LOS JÓVENES DEL SECTOR RURAL Y LOS REQUISITOS DE ACCEDO A LA MISMA.2. AUMENTAR LA  CAPACITACIÓN TÉCNICA Y SUPERIOR DE LA POBLACIÓN JOVEN RURAL EN CIENCIAS AGROPECUARIAS.3. FACILITAR EL ACCESO A LAS FUENTES DE APOYO  PARA LA IMPLEMENTACIÓN DE PROYECTOS PRODUCTIVOS RENTABLES DEL SECTOR AGROPECUARIO. 4. FACILITAR EL ACCESO A CAPITAL DE TRABAJO A LA POBLACIÓN JOVEN RURAL. 5. AUMENTAR LA COBERTURA DE LOS PROGRAMAS INSTITUCIONALES NACIONALES Y REGIONALES  A LA POBLACIÓN JOVEN EMPRENDEDORA DEL SECTOR RURAL.;En Ejecución;2011-2018;Agricultura Y Desarrollo Rural;Ministerio de Agricultura - Agricultura y Desarrollo Rural;1702 INCLUSIÓN PRODUCTIVA DE PEQUEÑOS PRODUCTORES RURALES;Pgn;7.075.738.205.800.000.000;7.075.738.205.800.000.000;5.933.186.170.600.000.000;4.513.502.783.350.000.000;Inactivo  (PGN, Territorio);170101;3882;;;;
